stop_id,stop_code,stop_name,stop_lat,stop_lon
609,24306,"Zacisze",51.1243518300,17.0778218200
3582,11364,"Weigla (Szpital)",51.0773993700,17.0191201400
122,12716,"Dzielna",51.1386343100,16.9768901400
1606,20265,"Pułaskiego",51.0982992200,17.0429557600
166,17716,"Adamczewskich",51.1208439600,16.8695348600
2865,110005,"Rynek",51.1112028100,17.0270362800
3757,17305,"Stanisławowska (W.K. Formaty)",51.0968383300,16.9468478100
717,29533,"Azaliowa",51.1639965000,17.1118338900
1343,11231,"Uniwersytet Ekonomiczny",51.0898889600,17.0286671900
1297,31920021,"Kątna",51.1326714700,17.2835237400
660,23308,"Las Osobowicki",51.1479741600,16.9838305100
3383,10241,"Narodowe Forum Muzyki",51.1078990000,17.0262940000
2479,12717,"KOZANÓW",51.1378201300,16.9679529700
1820,29505,"Przedwiośnie (Stacja kolejowa)",51.1604270700,17.1224171100
3417,11353,"Sudecka",51.0844339100,17.0180651400
4171,92052016,"Brzezina Osiedle",51.1925184000,16.8335414000
632,23722,"Redycka",51.1486843000,17.0755699000
4127,18017,"Aleja Architektów",51.1391930000,16.9269190000
561,24505,"Spółdzielcza",51.1021114100,17.1023814200
4095,716101,"Biskupice Podgórne LG Chem Energy I",51.0176873300,16.8773746000
4144,18384,"LEŚNICA",51.1448620800,16.8719590700
564,24517,"Bacciarellego",51.1056363100,17.1104913100
78,18373,"Polkowicka",51.1554325000,16.8734630700
3459,24212,"Godebskiego (AWF Wrocław)",51.1139412900,17.0979923800
2951,18351,"Eluarda",51.1462280000,16.8674081100
1397,11001,"DWORZEC AUTOBUSOWY",51.0971226700,17.0326441800
1268,11337,"Jastrzębia",51.0837239800,17.0100384700
4117,80347016,"Jaszkotle",51.0570686400,16.9017295500
1703,31453018,"Bąków",51.2119353200,17.1594618000
2267,11331,"EPI",51.0978894400,17.0295311300
309,11511,"Krucza",51.0944236000,17.0107815500
1305,20730,"Mosty Warszawskie",51.1283829800,17.0538427900
115,12707,"Górnicza",51.1406265500,16.9582568900
558,24513,"Okrzei",51.1063521600,17.0992530800
101,18718,"Zbożowa",51.1735297900,16.9121521600
397,17115,"Morelowskiego",51.0696805600,16.9689522000
2848,17126,"Jordanowska",51.0796664900,16.9574772400
242,10501,"PL. JANA PAWŁA II",51.1121544100,17.0207247200
581,24709,"Niedziałkowskiego",51.1087563000,17.1396307100
180,17704,"Żerniki",51.1230927200,16.9248345000
440,21150,"Klimasa",51.0801615700,17.0624714800
3815,11546,"Gajowicka (szkoła)",51.0846041800,17.0038120300
1642,16402,"Radio i Telewizja",51.0717340500,17.0059545500
765,29301,"Palacha",51.1404994500,17.1263193500
3714,31920002,"Kiełczów - Sosnowa",51.1436487600,17.1586585100
1668,10408,"ZACHODNIA (Stacja kolejowa)",51.1163976900,17.0004091800
848,110232,"Renoma",51.1037838900,17.0307293200
1951,11741,"Aleja Wędrowców",51.0879861000,16.9918824300
3340,50000043,"Iwiny - Słoneczna",51.0437400000,17.0783200000
1361,16406,"Braterska",51.0676164600,16.9995540000
3426,71951006,"Ślęza (ul. Przystankowa)",51.0369970000,16.9847500000
3889,18341,"Leśnica - Hermes",51.1460950500,16.8656923700
367,723962,"Bielany - skrzyżowanie",51.0390917500,16.9709403100
3929,11544,"Modlińska",51.0814048600,17.0002057700
1559,12404,"Park Zachodni",51.1294052000,16.9714251000
3664,31912002,"Łosice",51.2167411700,17.2051800100
2303,29529,"ROD Źródło Zdrowia",51.1511971500,17.1077045100
3425,71951005,"Ślęza (ul. Przystankowa)",51.0374831000,16.9859783800
1371,24409,"Chełmońskiego",51.1037567700,17.0909274000
235,10511,"Inowrocławska",51.1154377400,17.0152886900
3462,24324,"Godebskiego (AWF Wrocław)",51.1138679100,17.0987194000
219,10517,"DŁUGA (Politechnika)",51.1252886200,17.0100183300
766,29302,"Palacha",51.1405715000,17.1264309300
3422,29135,"Psie Pole (Rondo Lotników Polskich)",51.1465900000,17.1153640000
947,24135,"KOWALE",51.1279605800,17.1025343200
2306,26115,"ROD Mieczyk",51.0638894900,17.0724922200
2200,80362014,"Samotwór - Dębowa",51.1067160000,16.8365920000
392,16513,"Sowia",51.0737926200,17.0018449400
3769,11325,"Zaolziańska",51.0980482000,17.0254733100
1532,11652,"Ojca Beyzyma",51.0904155400,16.9924411100
925,11369,"Sanocka",51.0932632800,17.0300793500
3702,31453006,"Zaprężyn - skrzy.",51.2535233200,17.2062972700
509,21102,"DWORZEC AUTOBUSOWY",51.0965745500,17.0329804700
3675,31913001,"Jaksonowice - skrzy.",51.2495630900,17.2452439900
1200,31341002,"Budziwojowice",51.2228853800,17.1881141400
3555,21162,"Armii Krajowej (Bogedaina)",51.0853469400,17.0652888100
259,12124,"Chociebuska",51.1146730400,16.9580598300
1804,29117,"Bierutowska 75",51.1559648100,17.1406814300
3470,90336011,"Wilkszyn - Miłoszyn",51.1827212000,16.8725008000
3979,92056016,"Miękinia Cegielnia",51.1882440000,16.7246560000
763,29123,"Gorlicka",51.1433204000,17.1203247000
3053,17315,"Trawowa",51.0970587400,16.9505113100
3792,23562,"Waniliowa",51.1784030000,16.9997520000
2727,10406,"pl. Strzegomski (Muzeum Współczesne)",51.1129278900,17.0077196800
4180,91048801,"Głoska - ul. Średzka",51.2399080000,16.7212840000
2794,21157,"Nyska",51.0828854900,17.0549052400
71,18724,"Wilkszyńska",51.1736440100,16.8862201500
3985,92056019,"Kadłub wieś",51.1747220100,16.6967984800
651,23113,"Różanka",51.1395030400,17.0216930800
80,18372,"Wolska",51.1469110000,16.8693790000
261,12125,"Nowy Dwór (Rogowska)",51.1186231100,16.9548696300
2342,16705,"WAŁBRZYSKA",51.0648963600,16.9761323900
1627,24413,"Spółdzielcza",51.1022060200,17.1018083900
247,10548,"Śrubowa",51.1124317600,17.0010101300
1704,18389,"RUBCZAKA (Stacja kolejowa)",51.1433057600,16.8663781800
1611,11206,"Rondo",51.0906902300,17.0171240100
3139,11314,"KRZYKI",51.0749540900,17.0063847900
513,20321,"DWORCOWA",51.1010645000,17.0403796400
627,23133,"Pola",51.1367486200,17.0446982300
3705,31371004,"Godzieszowa (na wys. nr 8)",51.2374339300,17.1259322500
4054,26106,"Malinowskiego",51.0629380000,17.0555880000
779,23704,"Kasprowicza",51.1378651500,17.0536707600
2797,17729,"Żernicka (Stacja kolejowa)",51.1260832900,16.9142594700
1332,16706,"Marcepanowa",51.0623652800,16.9763931500
4161,92056005,"Księginice ul. Sportowa",51.2389813900,16.7609465700
3680,32614901,"Kamień Diamentowa",51.1671000000,17.2240627700
2298,16719,"ROD Bielany",51.0552190800,16.9775086500
3645,31371007,"Siedlec - Wrocławska/szkoła",51.2302522500,17.1148444300
3761,23511,"Perzowa",51.1765761700,16.9919465400
883,12527,"Metalowców",51.1322913500,16.9565849600
707,24108,"C.H. Korona",51.1408418900,17.0871082700
92,18712,"PRACZE ODRZAŃSKIE (Stacja kolejowa)",51.1713957000,16.9024931000
1376,11610,"GRABISZYŃSKA (Cmentarz)",51.0905846700,16.9769745800
1253,20316,"Na Niskich Łąkach",51.0966795600,17.0566469200
656,10704,"PL. STASZICA",51.1224616700,17.0302606800
3128,12113,"Centrum Zarządzania Kryzysowego",51.1146256000,16.9718827800
716,29534,"Azaliowa",51.1641714100,17.1119364000
3934,11550,"RACŁAWICKA",51.0775900000,16.9847640000
18,723975,"BIELANY WROCŁAWSKIE",51.0327015600,16.9677890500
69,18726,"Krzelowska",51.1774615200,16.8786003600
943,10379,"Grabiszyńska",51.1022549400,17.0123390900
506,11302,"Rondo",51.0911494400,17.0178796300
3146,10500,"PL. JANA PAWŁA II",51.1127054600,17.0206180600
2296,25003,"KRAKOWSKA (Centrum handlowe)",51.0900349300,17.0646568700
1651,10015,"Uniwersytet",51.1137562100,17.0323867600
3138,11313,"KRZYKI",51.0748550000,17.0062318900
3762,18516,"Maślicka (Osiedle)",51.1474924300,16.9477391900
2358,12603,"PILCZYCKA (Anima)",51.1351552600,16.9692437400
3456,11602,"Bzowa (Centrum Zajezdnia)",51.0976059800,16.9926512100
870,110255,"pl. Orląt Lwowskich",51.1077807100,17.0222147000
1503,18201,"LEŚNICA",51.1446523600,16.8717053200
2543,11242,"PARK POŁUDNIOWY",51.0726710900,17.0144784300
1665,18009,"Wschowska",51.1449086300,16.8814493900
1483,20818,"Kliniki",51.1094524000,17.0661215100
